,pid,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,at1t,at1x,at1y,at1z,lr1t,lr1x,lr1y,lr1z,rl1t,rl1x,rl1y,rl1z,pl,spl,plr,name,status,arc_angle,arc,Release,jump_dist,approx_h
0,201935,6.4166641,1138,-0.18830140645486,0.261251121032275,3.40775893099907,0.376,-0.0097243810415755,0.0183177783305845,8.16823125846231,14.4452186870275,-7.0364381997032,-0.252624977935545,12.6130512168281,9.61897948488487,0.302,0.299197228328021,0.065956462960669,7.36157268487134,19.0389775514976,0.113,-0.499386296370429,-0.0174558705322161,4.83751118849014,0.078,-0.556391913253877,0.0282804090591139,4.19911096669744,0.285,0.309821764784432,0.0775660548288324,7.19686094544608,0.144,-0.378886101260028,-0.0302070139802858,5.40686544507994,0.264,0.295729159814902,0.0839102342698732,6.98224443925279,5.15900546847335,4.77001081168009,1.08155005767298,James Harden,1,51.93279688857336,Medium,Slow,Mid,6.0
1,203081,6.1666642,1114,-0.203829165393257,-0.114525550236921,2.97626272032044,0.378,0.000622940141154049,-0.0014496647892598,7.6940675075835,14.7055848532069,-6.87495368629564,-0.0032602450117311,12.9995856494336,9.86257867298245,0.304,0.251975124821476,0.0360065457869154,6.86990342155472,17.2200194643768,0.12,-0.506330260957984,0.238199985553236,4.41944865764961,0.095,-0.524564147003627,0.189518279220148,3.99611869581327,0.305,0.252030775476202,0.0350765136913073,6.87976644746743,0.0,0.0,0.0,0.0,0.156,-0.415825609311293,0.268531119048284,5.01606629538772,5.06377116301497,4.72358643723701,1.07201831284301,Damian Lillard,1,54.64286009571014,High,Slow,Slow,6.0
2,2772,6.666664,942,0.0949730758218378,-0.0405923506913185,3.16831744725253,0.436,-0.0758149845108613,-0.003552261225675,8.52410019436736,14.8276341891239,-6.84964806729848,0.528096677267067,13.1400978268843,12.6415511383318,0.375,0.228266667157942,-0.0051284296263979,7.74252837683551,16.1270067364878,0.23,-0.0065418149431116,0.216293333666648,5.67087118353496,0.125,-0.418273907727105,0.33524182584145,4.10876773791867,0.321,0.322945969032566,0.037384717651812,7.05244797220427,0.405,0.106848692100884,-0.011808166499654,8.12306643324783,0.14,-0.405604814683919,0.339848309353134,4.3020390461073,5.81350938166353,5.3586331619241,1.08488661305864,Trevor Ariza,1,41.27635840603428,Low,Slow,Mid,7.0
3,202083,6.3333308,920,-0.730036396038103,0.199584339257731,3.15428764453193,0.372,-0.0044138468443968,-0.000733067031116134,7.48260535355783,14.5162798712288,-6.7301990666061,0.035315841368462,12.8617866027643,7.76872445902565,0.291,0.221366440183855,0.016324883046968,6.67156727878962,19.5375355738507,0.109,-0.994903396882734,0.325947372416126,4.41633914791075,0.083,-1.02335877966804,0.322653989824544,3.92357308115382,0.302,0.227551657194606,0.0107722141273725,6.75763422958551,0.367,0.028197397444269,-0.000830339449230669,7.41877518388949,0.1,-1.01149408871268,0.3270457943235,4.2410864184851,4.88861274398182,4.39328912518035,1.11274550904526,Wesley Matthews,1,53.569242360819025,High,Slow,Slow,6.0
4,200768,5.9999976,886,0.458438170376878,-0.121073089080219,2.71720295646992,0.462,-0.0099209196222004,-0.0112213533336708,7.97518684235051,14.2434399062225,-8.975648349546,0.635756464775101,11.041246794858,7.47646131855272,0.387,0.458557276457368,-0.0354535314719611,7.29082651182182,21.4680507155869,0.192,-0.106941789114754,0.54517841756748,4.83861699732248,0.144,-0.2683901734337,0.597102586432861,3.90265760574285,0.341,0.545627112887248,0.00552593591561,6.91583874349981,0.394,0.431519628244556,-0.0359510335594154,7.34330061376084,0.156,-0.256141289517806,0.605427230683915,4.10526684019869,6.18005389664167,5.27994528240693,1.17047688301505,Kyle Lowry,1,50.06704476960968,Medium,Slow,Mid,6.0
5,2594,6.5833307,885,-0.0431186916383024,0.0591487367237896,3.66570512179465,0.394,-0.096939969334096,-0.0293626724010104,8.31495153198739,13.3717567898453,-6.48734416915816,-1.45830588992306,11.6013615239367,inf,0.0,0.0,0.0,0.0,15.4653306970562,0.193,0.156118738084223,0.20799380962523,5.70649845698765,0.075,-0.134029675452483,0.203013071004595,4.10984477162162,0.264,0.289808162955187,0.146635317901097,6.75236774761824,0.0,0.0,0.0,0.0,0.137,-0.0265040439574797,0.223982266773275,4.86434616287427,4.80883100997844,4.65040032493635,1.03406818208586,Kyle Korver,1,52.456533963338345,Medium,Slow,Mid,7.0
6,201567,6.666664,824,-0.551534544114883,0.394906336772241,3.705944536455,0.381,0.0215869928052607,-0.0152638211522192,8.34863021797487,14.288736454874,-7.56802618944207,0.247257907537872,12.1174185617203,9.40919410613538,0.304,0.346636307224156,-0.0239676614709069,7.53789182389125,17.7493645679991,0.113,-0.65560825437954,0.403600689463975,5.24908125572312,0.0610000000000001,-0.821995840176297,0.466150655461618,4.39697684477968,0.292,0.352881748315123,-0.0211529676718442,7.42469044594779,0.31,0.338851463049877,-0.024286528400033,7.59440642132382,0.0640000000000001,-0.821413926512763,0.466399373332025,4.43862255154982,5.09737302592455,4.69587459286586,1.08550024603908,Kevin Love,1,47.983300187617445,Medium,Slow,Mid,7.0
7,2747,6.4999974,798,-0.585282803899873,-0.0775206988925936,3.55266886631404,0.382,0.023243423259688,-0.0195973663920465,8.55062022709022,13.1270186185226,-7.16196988488304,1.47159454477504,10.9022573201543,5.88988893311981,0.309,0.329598224925276,-0.115859084621961,7.94928045726357,22.3430769313575,0.113,-0.680678752248567,0.14101549754725,5.33647439314162,0.0620000000000001,-0.878016130318742,0.118004296546453,4.2976744056428,0.294,0.338540945905447,-0.130255003181098,7.85919246768742,0.274,0.324632327603094,-0.13811466297755,7.72091808612253,0.096,-0.782547945865311,0.147168908706916,4.96034495067505,5.43745713287879,5.03519384793411,1.07989032738228,JR Smith,1,57.19981481892989,High,Slow,Mid,6.0
8,201980,6.4999974,779,0.0953227893047308,0.143787754566781,3.00053522011921,0.387,-0.010711329522675,-0.0172879907322225,8.49740139790195,13.0749440916469,-6.96594802401179,-0.852072576132536,11.0319401490155,7.05688736357856,0.317,0.222279684665932,0.0504888941707509,7.86558487660912,23.6410218286167,0.116,-0.473690014697106,0.269560630076932,4.7694008991259,0.131,-0.481972290266836,0.277792636629723,5.12063117060647,0.32,0.222646493929655,0.0472796461538554,7.88677124828048,0.0,0.0,0.0,0.0,0.143,-0.475926857424136,0.280028107760563,5.38925020054541,5.83873472497439,5.50024784955469,1.06154029503363,Danny Green,1,56.79670094554262,High,Slow,Mid,6.0
9,201587,6.7499972999999995,750,0.0774771044385585,-0.0517954074634002,3.06281671809712,0.479,-0.0072484664820189,-0.0476824347252593,8.85554997896788,13.5617411872493,-7.96651713289084,-0.233421281587778,10.9727363636693,9.96566742504434,0.401,0.455640569152767,-0.0504773127876216,8.0359159259768,17.8464787655113,0.198,-0.0797008075110012,0.235972215987799,5.49689675494131,0.13,-0.357360375571055,0.311009839560165,4.36977549888846,0.348,0.565955419598071,-0.0381451743206144,7.4937745433121,0.387,0.50458006936168,-0.0514818004841777,7.89615948995052,0.146,-0.345272960187024,0.318257669906354,4.62784436590858,6.35445721454486,5.79335429354282,1.09685285804589,Nicolas Batum,1,42.32772552827469,Low,Slow,Fast,7.0
10,101123,6.4999974,748,0.472637853646504,-0.640083959373343,3.24187375536711,0.462,-0.0485318395529246,-0.0402202753388747,8.81137771164743,15.0564126301567,-8.85745305179,0.36843894193729,12.1698537160864,11.4338748898213,0.401,0.359880042321519,-0.0638195930510524,8.09475493578504,17.5029181527755,0.209,-0.0736694446107342,-0.0588243559380378,5.35125321820673,0.147,-0.296222569776608,-0.105989663283045,4.33632672482405,0.338,0.512307614109407,-0.073667756451332,7.35028397338411,0.353,0.50088269967595,-0.0752712199454059,7.53544538254741,0.245,0.139371660273051,-0.054638104049132,5.96702810569117,6.30053366455853,5.62590691422771,1.11991431081533,Gerald Green,1,40.807002810314486,Low,Slow,Fast,6.0
